sav,val,W,P,W_minus_P,mean_vrr,std_vrr,site
b_17_13,0.8973105134474328,17,13,4,0.0006567129526284582,0.0013262628938119226,Gemenc
b_17_14,0.8875305623471883,17,14,3,-0.0028636001069766897,0.002793542529971264,Gemenc
b_17_15,0.882640586797066,17,15,2,-0.003074561282790317,0.002857089369153979,Gemenc
b_17_2,0.8398533007334963,17,2,15,0.3477795171375785,0.059662918346555106,Gemenc
b_17_3,0.8398533007334963,17,3,14,0.3477795171375785,0.059662918346555106,Gemenc
b_17_4,0.938875305623472,17,4,13,0.20680215853228479,0.07016566526697929,Gemenc
b_17_5,0.938875305623472,17,5,12,0.2068021585322944,0.07016566526697372,Gemenc
b_17_6,0.9266503667481664,17,6,11,0.0982917729464027,0.04924041005981209,Gemenc
b_17_7,0.9266503667481664,17,7,10,0.09829177294603128,0.04924041005970322,Gemenc
b_17_8,0.904645476772616,17,8,9,0.03701823392296415,0.02555289874336813,Gemenc
b_17_9,0.904645476772616,17,9,8,0.037018234428180787,0.0255528987953989,Gemenc
b_19_1,0.7579462102689487,19,1,18,0.4575274704512856,0.03898835000105689,Gemenc
b_19_10,0.9229828850855746,19,10,9,0.02333262525154727,0.01882331334593121,Gemenc
b_19_11,0.9229828850855746,19,11,8,0.023332594955018323,0.01882332095209653,Gemenc
b_19_12,0.9009779951100245,19,12,7,0.005807488475980416,0.007406403113766098,Gemenc
b_19_13,0.9009779951100245,19,13,6,0.005802826663915036,0.007404379472425006,Gemenc
b_19_14,0.8973105134474327,19,14,5,-0.00044521453652183714,0.000567348751306113,Gemenc
b_19_15,0.9034229828850855,19,15,4,-0.0015017624108883039,0.0006914465976634048,Gemenc
b_19_2,0.78239608801956,19,2,17,0.3793850270664872,0.05185445783552639,Gemenc
b_19_3,0.78239608801956,19,3,16,0.3793850270664872,0.05185445783552641,Gemenc
b_19_4,0.9266503667481664,19,4,15,0.25257666406687035,0.07265564869326467,Gemenc
b_19_5,0.9266503667481664,19,5,14,0.2525766640668655,0.07265564869326865,Gemenc
b_19_6,0.9119804400977995,19,6,13,0.13881569989922016,0.060609983184576915,Gemenc
b_19_7,0.9119804400977995,19,7,12,0.1388156999023615,0.060609983184881186,Gemenc
b_19_8,0.9144254278728606,19,8,11,0.06355757262983613,0.0375998480612341,Gemenc
b_19_9,0.9144254278728606,19,9,10,0.06355757390886348,0.0375998480557819,Gemenc
b_3_1,0.8997555012224939,3,1,2,0.05917491266018434,0.015444104322407037,Gemenc
b_5_1,0.9621026894865526,5,1,4,0.15579959916417307,0.03964445782044065,Gemenc
b_5_2,0.8985330073349633,5,2,3,0.014318203572908274,0.006276452256228929,Gemenc
